company,domain,source,bucket,label,url,reason
1kosmos.com,1kosmos.com,nav_footer,nav,All systems operational,https://status.1kosmos.com/,no technology term found
1kosmos.com,1kosmos.com,nav_footer,nav,Copyright policy,https://www.1kosmos.com/copyright,no technology term found
1kosmos.com,1kosmos.com,sitemap,platform,Liveid,https://www.1kosmos.com/platform/product/passwordless/liveid,no technology term found
1kosmos.com,1kosmos.com,sitemap,platform,Reverification,https://www.1kosmos.com/platform/product/reverification,no technology term found
1kosmos.com,1kosmos.com,sitemap,solution,Account Onboarding,https://www.1kosmos.com/solutions/use-cases/account-onboarding,no technology term found
1kosmos.com,1kosmos.com,sitemap,solution,Account Recovery,https://www.1kosmos.com/solutions/use-cases/account-recovery,no technology term found
1kosmos.com,1kosmos.com,sitemap,solution,Bpo,https://www.1kosmos.com/solutions/industry/bpo,no technology term found
1kosmos.com,1kosmos.com,sitemap,solution,Employee Onboarding,https://www.1kosmos.com/solutions/use-cases/employee-onboarding,no technology term found
1kosmos.com,1kosmos.com,sitemap,solution,Ial2,https://www.1kosmos.com/solutions/use-cases/ial2,no technology term found
1kosmos.com,1kosmos.com,sitemap,solution,Workforce,https://www.1kosmos.com/solutions/identity/workforce,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Control,https://www.absolute.com/platform/absolute-control,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Core,https://www.absolute.com/platform/absolute-core,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Edge,https://www.absolute.com/platform/absolute-edge,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Enterprise,https://www.absolute.com/platform/absolute-enterprise,no technology term found
absolute.com,absolute.com,nav_header,platform,Absolute Persistence,https://www.absolute.com/platform/persistence,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Rehydrate,https://www.absolute.com/platform/absolute-rehydrate,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Rehydrate Feature Tour,https://www.absolute.com/platform/product-tours/absolute-rehydrate-feature-tour,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Resilience,https://www.absolute.com/platform/absolute-resilience,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Resilience for Education,https://www.absolute.com/platform/absolute-resilience-for-education,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Resilience for Msps Feature Tour,https://www.absolute.com/platform/product-tours/absolute-resilience-for-msps-feature-tour,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Resilience for Security,https://www.absolute.com/platform/absolute-resilience-for-security,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Resilience for Student Devices,https://www.absolute.com/platform/absolute-resilience-for-student-devices,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Response to Apache Log4j2,https://www.absolute.com/platform/security-information/vulnerability-archive/absolute-response-to-apache-log4j2,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Secure Access Product Tour,https://www.absolute.com/platform/product-tours/absolute-secure-access-product-tour,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Secure Endpoint Product Tour,https://www.absolute.com/platform/product-tours/absolute-secure-endpoint-product-tour,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Secure Endpoint Required Apps Feature Tour,https://www.absolute.com/platform/product-tours/absolute-secure-endpoint-required-apps-feature-tour,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute Visibility,https://www.absolute.com/platform/absolute-visibility,no technology term found
absolute.com,absolute.com,sitemap,platform,Absolute for Chromebooks,https://www.absolute.com/platform/absolute-for-chromebooks,no technology term found
absolute.com,absolute.com,sitemap,platform,Application Resilience,https://www.absolute.com/platform/application-resilience,no technology term found
absolute.com,absolute.com,sitemap,platform,Application Resilience Catalog,https://www.absolute.com/platform/application-resilience-catalog,no technology term found
absolute.com,absolute.com,sitemap,platform,Compare Absolute Products,https://www.absolute.com/ja/platform/compare-absolute-products,no technology term found
absolute.com,absolute.com,nav_header,platform,Compare Product Packages,https://www.absolute.com/platform/compare-absolute-products,no technology term found
absolute.com,absolute.com,sitemap,platform,Persistence,https://www.absolute.com/ja/platform/persistence,no technology term found
absolute.com,absolute.com,sitemap,platform,Rehydrate Calculator,https://www.absolute.com/platform/rehydrate-calculator,no technology term found
absolute.com,absolute.com,sitemap,platform,Requirements,https://www.absolute.com/ja/platform/requirements,no technology term found
absolute.com,absolute.com,sitemap,platform,Secure Access,https://www.absolute.com/platform/secure-access,no technology term found
absolute.com,absolute.com,sitemap,platform,Secure Endpoint,https://www.absolute.com/platform/secure-endpoint,no technology term found
absolute.com,absolute.com,nav_footer,platform,Security Information,https://www.absolute.com/platform/security-information,no technology term found
absolute.com,absolute.com,nav_footer,platform,System Requirements,https://www.absolute.com/platform/requirements,no technology term found
absolute.com,absolute.com,nav_footer,solution,Enable the Business,https://www.absolute.com/solutions/enable-the-business,no technology term found
absolute.com,absolute.com,nav_footer,solution,IT Solutions,https://www.absolute.com/solutions/it-management,no technology term found
absolute.com,absolute.com,sitemap,solution,K12 Education,https://www.absolute.com/solutions/industries/k12-education,no technology term found
absolute.com,absolute.com,nav_footer,solution,Public Safety,https://www.absolute.com/solutions/industries/public-safety,no technology term found
absolute.com,absolute.com,sitemap,use_case,Device Lifecycle Management,https://www.absolute.com/use-case/device-lifecycle-management,no technology term found
absolute.com,absolute.com,sitemap,use_case,Fix Cmdb Accuracy,https://www.absolute.com/use-case/fix-cmdb-accuracy,no technology term found
absolute.com,absolute.com,sitemap,use_case,Prevent Endpoint Data Exposure,https://www.absolute.com/use-case/prevent-endpoint-data-exposure,no technology term found
absolute.com,absolute.com,sitemap,use_case,Resilient Government IT,https://www.absolute.com/use-case/resilient-government-it,no technology term found
absolute.com,absolute.com,sitemap,use_case,Resilient Public Safety IT,https://www.absolute.com/use-case/resilient-public-safety-it,no technology term found
absolute.com,absolute.com,sitemap,use_case,Secure Hybrid Work Zero Data Leaks,https://www.absolute.com/use-case/secure-hybrid-work-zero-data-leaks,no technology term found
absolute.com,absolute.com,sitemap,use_case,Secure Lost or at Risk Devices Remotely,https://www.absolute.com/use-case/secure-lost-or-at-risk-devices-remotely,no technology term found
absolute.com,absolute.com,sitemap,use_case,Self Healing Security Applications,https://www.absolute.com/use-case/self-healing-security-applications,no technology term found
absolute.com,absolute.com,sitemap,use_case,Stop Endpoint Configuration Drift,https://www.absolute.com/use-case/stop-endpoint-configuration-drift,no technology term found
absolute.com,absolute.com,nav_header,use_case,Stop flying blind with your inventory management,https://www.absolute.com/use-case/asset-inventory-management,no technology term found
absolute.com,absolute.com,sitemap,use_case,Unlock Seamless Digital Experiences,https://www.absolute.com/use-case/unlock-seamless-digital-experiences,no technology term found
absolute.com,absolute.com,nav_header,use_case,all use cases,https://www.absolute.com/use-cases,no technology term found
accenture.com,accenture.com,nav_header,industry,Communications and Media,https://www.accenture.com/en/industries/communications-media,no technology term found
accenture.com,accenture.com,nav_header,industry,Consumer Goods and Services,https://www.accenture.com/en/industries/consumer-goods-services,no technology term found
accenture.com,accenture.com,nav_header,industry,Natural Resources,https://www.accenture.com/en/industries/natural-resources,no technology term found
accenture.com,accenture.com,nav_header,industry,Public Service,https://www.accenture.com/en/industries/public-service,no technology term found
accenture.com,accenture.com,nav_header,industry,Software and Platforms,https://www.accenture.com/en/industries/software-platforms,no technology term found
accenture.com,accenture.com,nav_header,industry,US Federal Government,https://www.accenture.com/en-us/industries/accenture-federal-services,no technology term found
