company,domain,source,bucket,label,url,tech_domain,category
1kosmos.com,1kosmos.com,sitemap,platform,Identity Verification,https://www.1kosmos.com/platform/product/identity-verification,Identity & Access,Identity & Access
1kosmos.com,1kosmos.com,sitemap,platform,Passwordless,https://www.1kosmos.com/platform/product/passwordless,Identity & Access,Identity & Access
1kosmos.com,1kosmos.com,nav_footer,solution,AI Agents,https://www.1kosmos.com/solutions/identity/agents,AI & Machine Learning,AI & Machine Learning
1kosmos.com,1kosmos.com,sitemap,solution,Help Desk Verification,https://www.1kosmos.com/solutions/use-cases/help-desk-verification,Identity & Access,Identity & Access
1kosmos.com,1kosmos.com,sitemap,solution,In Person Verification,https://www.1kosmos.com/solutions/use-cases/in-person-verification,Identity & Access,Identity & Access
1kosmos.com,1kosmos.com,sitemap,solution,Passwordless Authentication for Frontline Workers,https://www.1kosmos.com/solutions/use-cases/passwordless-authentication-for-frontline-workers,Identity & Access,Identity & Access
1kosmos.com,1kosmos.com,sitemap,solution,Remote Workforce Verification,https://www.1kosmos.com/solutions/use-cases/remote-workforce-verification,Identity & Access,Identity & Access
absolute.com,absolute.com,sitemap,platform,Absolute AI Threat Insights,https://www.absolute.com/platform/product-tours/absolute-ai-threat-insights,Security Operations,Cybersecurity & Risk
absolute.com,absolute.com,sitemap,platform,Absolute Insights for Network,https://www.absolute.com/platform/absolute-insights-for-network,Data & Analytics,Data & Analytics
absolute.com,absolute.com,sitemap,platform,Absolute Ransomware Response,https://www.absolute.com/platform/absolute-ransomware-response,Endpoint Security,Cybersecurity & Risk
absolute.com,absolute.com,sitemap,platform,Absolute Resilience for Automation,https://www.absolute.com/platform/absolute-resilience-for-automation,IT Operations & Endpoint Management,Business Applications & IT
absolute.com,absolute.com,sitemap,platform,Absolute Secure Endpoint AI Assistant Feature Tour,https://www.absolute.com/platform/product-tours/absolute-secure-endpoint-ai-assistant-feature-tour,AI & Machine Learning,AI & Machine Learning
absolute.com,absolute.com,sitemap,platform,Absolute Secure Web Gateway,https://www.absolute.com/platform/absolute-secure-web-gateway,Network Security,Cybersecurity & Risk
absolute.com,absolute.com,sitemap,platform,Autonomous Endpoint Management,https://www.absolute.com/platform/autonomous-endpoint-management,IT Operations & Endpoint Management,Business Applications & IT
absolute.com,absolute.com,sitemap,platform,Critical Cve Addressed in Secure Access 1305,https://www.absolute.com/platform/security-information/vulnerability-archive/critical-cve-addressed-in-secure-access-1305,Exposure & Offensive Security,Cybersecurity & Risk
absolute.com,absolute.com,sitemap,platform,Insights for Endpoints,https://www.absolute.com/ja/platform/insights-for-endpoints,Data & Analytics,Data & Analytics
absolute.com,absolute.com,sitemap,platform,Vulnerability Archive,https://www.absolute.com/platform/security-information/vulnerability-archive,Exposure & Offensive Security,Cybersecurity & Risk
absolute.com,absolute.com,sitemap,platform,Vulnerability Reporting Management,https://www.absolute.com/platform/security-information/vulnerability-reporting-management,Exposure & Offensive Security,Cybersecurity & Risk
absolute.com,absolute.com,sitemap,solution,Cybersecurity and Compliance,https://www.absolute.com/solutions/cybersecurity-and-compliance,Security Operations,Cybersecurity & Risk
absolute.com,absolute.com,sitemap,use_case,Accelerate Incident Response Endpoint Recovery,https://www.absolute.com/use-case/accelerate-incident-response-endpoint-recovery,Security Operations,Cybersecurity & Risk
absolute.com,absolute.com,sitemap,use_case,Automate Patch Management,https://www.absolute.com/use-case/automate-patch-management,Exposure & Offensive Security,Cybersecurity & Risk
